t,x,theta,u
0.615,-0.42943,2.48286,2.87098
0.616,-0.430103,2.49416,2.86825
0.617,-0.430779,2.50548,2.86551
0.618,-0.431457,2.51682,2.86275
0.619,-0.432137,2.5282,2.85998
0.62,-0.43282,2.53959,2.85719
0.621,-0.433505,2.55102,2.85438
0.622,-0.434192,2.56246,2.85156
0.623,-0.434882,2.57393,2.84872
0.624,-0.435573,2.58543,2.84586
0.625,-0.436267,2.59695,2.843
0.626,-0.436963,2.60849,2.84011
0.627,-0.437661,2.62005,2.83721
0.628,-0.438361,2.63164,2.8343
0.629,-0.439062,2.64324,2.83137
0.63,-0.439766,2.65487,2.82842
0.631,-0.440471,2.66652,2.82546
0.632,-0.441178,2.67818,2.82249
0.633,-0.441886,2.68987,2.8195
0.634,-0.442596,2.70158,2.8165
0.635,-0.443307,2.7133,2.81348
0.636,-0.44402,2.72504,2.81045
0.637,-0.444733,2.7368,2.8074
0.638,-0.445448,2.74857,2.80435
0.639,-0.446164,2.76036,2.80127
0.64,-0.446881,2.77217,2.79818
0.641,-0.447599,2.78399,2.79508
0.642,-0.448318,2.79582,2.79197
0.643,-0.449037,2.80767,2.78884
0.644,-0.449757,2.81953,2.7857
0.645,-0.450477,2.8314,2.78254
0.646,-0.451197,2.84328,2.77938
0.647,-0.451918,2.85517,2.7762
0.648,-0.452639,2.86707,2.773
0.649,-0.45336,2.87899,2.76979
0.65,-0.454081,2.89091,2.76657
0.651,-0.454802,2.90283,2.76334
0.652,-0.455523,2.91477,2.7601
0.653,-0.456243,2.92671,2.75684
0.654,-0.456962,2.93865,2.75357
0.655,-0.457681,2.9506,2.75029
0.656,-0.4584,2.96256,2.74699
0.657,-0.459117,2.97451,2.74368
0.658,-0.459833,2.98647,2.74036
0.659,-0.460549,2.99843,2.73703
0.66,-0.461263,3.01039,2.73369
0.661,-0.461976,3.02235,2.73034
0.662,-0.462687,3.03431,2.72697
0.663,-0.463396,3.04627,2.72359
0.664,-0.464104,3.05823,2.7202
0.665,-0.46481,3.07018,2.7168
0.666,-0.465514,3.08212,2.71339
0.667,-0.466217,3.09407,2.70997
0.668,-0.466916,3.106,2.70653
0.669,-0.467614,3.11793,2.70309
0.67,-0.468309,3.12986,2.69963
0.671,-0.469001,3.14177,2.69617
0.672,-0.469691,3.15368,2.69269
0.673,-0.470378,3.16557,2.6892
0.674,-0.471062,3.17746,2.6857
0.675,-0.471743,3.18933,2.68219
0.676,-0.472421,3.2012,2.67867
0.677,-0.473095,3.21304,2.67515
0.678,-0.473766,3.22488,2.67161
0.679,-0.474434,3.2367,2.66806
