t,x,theta,u
0.447,-0.53573,-0.182085,3.86239
0.448,-0.53662,-0.182576,3.86142
0.449,-0.537507,-0.183062,3.86039
0.45,-0.538391,-0.183542,3.85929
0.451,-0.539271,-0.184016,3.85813
0.452,-0.540147,-0.184486,3.85692
0.453,-0.54102,-0.184949,3.85564
0.454,-0.54189,-0.185408,3.8543
0.455,-0.542756,-0.185861,3.8529
0.456,-0.543618,-0.186308,3.85144
0.457,-0.544478,-0.186751,3.84993
0.458,-0.545333,-0.187188,3.84835
0.459,-0.546185,-0.18762,3.84672
0.46,-0.547034,-0.188046,3.84503
0.461,-0.547879,-0.188467,3.84328
0.462,-0.548721,-0.188884,3.84147
0.463,-0.549559,-0.189295,3.83961
0.464,-0.550394,-0.1897,3.8377
0.465,-0.551226,-0.190101,3.83572
0.466,-0.552054,-0.190496,3.8337
0.467,-0.552878,-0.190887,3.83162
0.468,-0.553699,-0.191272,3.82948
0.469,-0.554517,-0.191652,3.82729
0.47,-0.555331,-0.192028,3.82505
0.471,-0.556142,-0.192398,3.82275
0.472,-0.556949,-0.192763,3.82041
0.473,-0.557753,-0.193124,3.81801
0.474,-0.558553,-0.193479,3.81556
0.475,-0.55935,-0.19383,3.81305
0.476,-0.560144,-0.194175,3.8105
0.477,-0.560934,-0.194516,3.8079
0.478,-0.561721,-0.194852,3.80525
0.479,-0.562504,-0.195183,3.80254
0.48,-0.563284,-0.195509,3.79979
0.481,-0.564061,-0.195831,3.79699
0.482,-0.564834,-0.196148,3.79414
0.483,-0.565604,-0.19646,3.79125
0.484,-0.56637,-0.196767,3.7883
0.485,-0.567133,-0.19707,3.78531
0.486,-0.567893,-0.197368,3.78227
0.487,-0.568649,-0.197661,3.77919
0.488,-0.569402,-0.19795,3.77606
0.489,-0.570151,-0.198234,3.77288
0.49,-0.570897,-0.198514,3.76966
0.491,-0.57164,-0.198789,3.7664
0.492,-0.572379,-0.199059,3.76309
0.493,-0.573115,-0.199325,3.75973
0.494,-0.573848,-0.199587,3.75633
0.495,-0.574577,-0.199844,3.75289
0.496,-0.575303,-0.200096,3.74941
0.497,-0.576026,-0.200344,3.74588
0.498,-0.576745,-0.200588,3.74231
0.499,-0.577461,-0.200827,3.7387
0.5,-0.578174,-0.201062,3.73505
0.501,-0.578883,-0.201293,3.73135
0.502,-0.579589,-0.20152,3.72762
0.503,-0.580292,-0.201742,3.72384
0.504,-0.580991,-0.201959,3.72002
0.505,-0.581687,-0.202173,3.71617
0.506,-0.58238,-0.202382,3.71227
0.507,-0.583069,-0.202587,3.70834
0.508,-0.583755,-0.202788,3.70437
0.509,-0.584438,-0.202985,3.70035
0.51,-0.585118,-0.203178,3.6963
0.511,-0.585794,-0.203366,3.69222
0.512,-0.586467,-0.203551,3.68809
0.513,-0.587136,-0.203731,3.68393
0.514,-0.587803,-0.203907,3.67973
0.515,-0.588466,-0.204079,3.6755
0.516,-0.589126,-0.204247,3.67122
0.517,-0.589783,-0.204412,3.66692
0.518,-0.590436,-0.204572,3.66257
0.519,-0.591086,-0.204728,3.6582
0.52,-0.591733,-0.20488,3.65378
0.521,-0.592377,-0.205029,3.64934
0.522,-0.593017,-0.205173,3.64485
0.523,-0.593654,-0.205314,3.64034
0.524,-0.594288,-0.205451,3.63579
0.525,-0.594919,-0.205584,3.63121
0.526,-0.595546,-0.205713,3.62659
0.527,-0.596171,-0.205838,3.62194
0.528,-0.596792,-0.20596,3.61726
0.529,-0.59741,-0.206077,3.61255
0.53,-0.598024,-0.206191,3.60781
0.531,-0.598636,-0.206302,3.60303
0.532,-0.599244,-0.206408,3.59823
0.533,-0.599849,-0.206511,3.59339
0.534,-0.600451,-0.206611,3.58852
0.535,-0.60105,-0.206706,3.58362
0.536,-0.601646,-0.206798,3.57869
0.537,-0.602238,-0.206887,3.57374
0.538,-0.602828,-0.206972,3.56875
0.539,-0.603414,-0.207053,3.56373
0.54,-0.603997,-0.207131,3.55869
0.541,-0.604577,-0.207205,3.55362
0.542,-0.605154,-0.207276,3.54852
0.543,-0.605727,-0.207343,3.54339
0.544,-0.606298,-0.207407,3.53823
0.545,-0.606865,-0.207468,3.53305
0.546,-0.607429,-0.207525,3.52783
0.547,-0.607991,-0.207578,3.5226
0.548,-0.608549,-0.207628,3.51733
0.549,-0.609104,-0.207675,3.51204
0.55,-0.609656,-0.207719,3.50673
0.551,-0.610204,-0.207759,3.50138
0.552,-0.61075,-0.207796,3.49602
0.553,-0.611293,-0.207829,3.49062
0.554,-0.611832,-0.20786,3.48521
0.555,-0.612369,-0.207887,3.47976
0.556,-0.612902,-0.20791,3.4743
0.557,-0.613432,-0.207931,3.46881
0.558,-0.61396,-0.207948,3.46329
0.559,-0.614484,-0.207963,3.45776
0.56,-0.615005,-0.207974,3.4522
0.561,-0.615524,-0.207982,3.44661
0.562,-0.616039,-0.207987,3.44101
0.563,-0.616551,-0.207988,3.43538
0.564,-0.61706,-0.207987,3.42973
0.565,-0.617566,-0.207982,3.42406
0.566,-0.618069,-0.207975,3.41836
0.567,-0.618569,-0.207964,3.41265
0.568,-0.619067,-0.207951,3.40691
0.569,-0.619561,-0.207934,3.40115
0.57,-0.620052,-0.207915,3.39537
0.571,-0.62054,-0.207892,3.38957
0.572,-0.621025,-0.207867,3.38375
0.573,-0.621508,-0.207839,3.37792
0.574,-0.621987,-0.207807,3.37206
0.575,-0.622463,-0.207773,3.36618
0.576,-0.622937,-0.207736,3.36028
0.577,-0.623407,-0.207696,3.35437
0.578,-0.623875,-0.207654,3.34843
0.579,-0.624339,-0.207608,3.34248
0.58,-0.624801,-0.20756,3.33651
0.581,-0.62526,-0.207509,3.33052
0.582,-0.625715,-0.207455,3.32451
0.583,-0.626168,-0.207399,3.31849
0.584,-0.626618,-0.207339,3.31245
0.585,-0.627065,-0.207277,3.30639
0.586,-0.62751,-0.207212,3.30031
0.587,-0.627951,-0.207145,3.29422
0.588,-0.62839,-0.207075,3.28811
0.589,-0.628825,-0.207002,3.28199
0.59,-0.629258,-0.206927,3.27585
0.591,-0.629688,-0.206849,3.26969
0.592,-0.630115,-0.206768,3.26352
0.593,-0.630539,-0.206685,3.25733
0.594,-0.63096,-0.2066,3.25113
0.595,-0.631379,-0.206511,3.24491
0.596,-0.631794,-0.206421,3.23868
0.597,-0.632207,-0.206327,3.23244
0.598,-0.632617,-0.206231,3.22618
0.599,-0.633024,-0.206133,3.21991
0.6,-0.633429,-0.206032,3.21362
0.601,-0.63383,-0.205929,3.20732
0.602,-0.634229,-0.205824,3.20101
0.603,-0.634625,-0.205716,3.19468
0.604,-0.635019,-0.205605,3.18834
0.605,-0.635409,-0.205492,3.18199
0.606,-0.635797,-0.205377,3.17563
0.607,-0.636182,-0.20526,3.16925
0.608,-0.636564,-0.20514,3.16286
0.609,-0.636943,-0.205018,3.15646
0.61,-0.63732,-0.204893,3.15005
0.611,-0.637694,-0.204766,3.14363
0.612,-0.638065,-0.204637,3.13719
0.613,-0.638433,-0.204506,3.13075
0.614,-0.638799,-0.204372,3.12429
0.615,-0.639162,-0.204237,3.11783
0.616,-0.639523,-0.204099,3.11135
0.617,-0.63988,-0.203958,3.10486
0.618,-0.640235,-0.203816,3.09837
0.619,-0.640587,-0.203672,3.09186
0.62,-0.640937,-0.203525,3.08534
0.621,-0.641284,-0.203376,3.07882
0.622,-0.641628,-0.203225,3.07228
0.623,-0.641969,-0.203072,3.06574
0.624,-0.642308,-0.202917,3.05919
0.625,-0.642644,-0.20276,3.05263
0.626,-0.642978,-0.2026,3.04606
0.627,-0.643309,-0.202439,3.03948
0.628,-0.643637,-0.202276,3.03289
0.629,-0.643963,-0.20211,3.0263
0.63,-0.644286,-0.201943,3.0197
0.631,-0.644606,-0.201774,3.01309
0.632,-0.644924,-0.201602,3.00647
0.633,-0.645239,-0.201429,2.99985
0.634,-0.645552,-0.201254,2.99322
0.635,-0.645862,-0.201077,2.98658
0.636,-0.646169,-0.200898,2.97994
0.637,-0.646474,-0.200717,2.97329
0.638,-0.646777,-0.200534,2.96663
0.639,-0.647076,-0.200349,2.95997
0.64,-0.647373,-0.200163,2.9533
0.641,-0.647668,-0.199974,2.94663
0.642,-0.64796,-0.199784,2.93995
0.643,-0.648249,-0.199592,2.93326
0.644,-0.648536,-0.199398,2.92657
0.645,-0.648821,-0.199202,2.91988
0.646,-0.649103,-0.199005,2.91318
0.647,-0.649382,-0.198806,2.90647
0.648,-0.649659,-0.198605,2.89976
0.649,-0.649933,-0.198402,2.89305
0.65,-0.650205,-0.198198,2.88633
0.651,-0.650475,-0.197992,2.87961
0.652,-0.650742,-0.197784,2.87288
0.653,-0.651006,-0.197574,2.86615
0.654,-0.651268,-0.197363,2.85942
0.655,-0.651527,-0.19715,2.85268
0.656,-0.651785,-0.196936,2.84594
0.657,-0.652039,-0.19672,2.8392
