t,x,theta,u
0.502,-0.684076,-0.263864,4.95119
0.503,-0.684921,-0.263896,4.95119
0.504,-0.685761,-0.263922,4.95119
0.505,-0.686598,-0.263943,4.95119
0.506,-0.687429,-0.263958,4.95119
0.507,-0.688257,-0.263967,4.95119
0.508,-0.68908,-0.263971,4.95119
0.509,-0.689898,-0.263969,4.95119
0.51,-0.690712,-0.263962,4.95119
0.511,-0.691522,-0.263949,4.95119
0.512,-0.692328,-0.26393,4.95119
0.513,-0.693129,-0.263906,4.95119
0.514,-0.693925,-0.263876,4.95119
0.515,-0.694717,-0.26384,4.95119
0.516,-0.695505,-0.263799,4.95119
0.517,-0.696289,-0.263752,4.95119
0.518,-0.697068,-0.263699,4.95119
0.519,-0.697842,-0.263641,4.95119
0.52,-0.698613,-0.263578,4.95119
0.521,-0.699378,-0.263508,4.95119
0.522,-0.70014,-0.263433,4.95119
0.523,-0.700897,-0.263353,4.95119
0.524,-0.701649,-0.263266,4.95119
0.525,-0.702398,-0.263174,4.95119
0.526,-0.703141,-0.263077,4.95119
0.527,-0.703881,-0.262974,4.95119
0.528,-0.704616,-0.262865,4.95119
0.529,-0.705347,-0.26275,4.95119
0.53,-0.706073,-0.26263,4.95119
0.531,-0.706795,-0.262504,4.95119
0.532,-0.707512,-0.262372,4.95119
0.533,-0.708225,-0.262235,4.95119
0.534,-0.708934,-0.262092,4.95119
0.535,-0.709638,-0.261943,4.95119
0.536,-0.710338,-0.261789,4.95119
0.537,-0.711033,-0.261629,4.95119
0.538,-0.711724,-0.261463,4.95119
0.539,-0.712411,-0.261292,4.95119
0.54,-0.713093,-0.261114,4.95119
0.541,-0.713771,-0.260931,4.95119
0.542,-0.714444,-0.260743,4.95119
0.543,-0.715113,-0.260548,4.95119
0.544,-0.715778,-0.260348,4.95119
0.545,-0.716438,-0.260142,4.95119
0.546,-0.717094,-0.25993,4.95119
0.547,-0.717745,-0.259712,4.95119
0.548,-0.718392,-0.259489,4.95119
0.549,-0.719035,-0.25926,4.95119
0.55,-0.719673,-0.259025,4.95119
0.551,-0.720307,-0.258784,4.95119
0.552,-0.720936,-0.258539,4.03584
0.553,-0.721563,-0.25829,4.03584
0.554,-0.722186,-0.258039,4.03584
0.555,-0.722805,-0.257785,4.03584
0.556,-0.723421,-0.257528,4.03584
0.557,-0.724033,-0.257268,4.03584
0.558,-0.724642,-0.257005,4.03584
0.559,-0.725247,-0.256739,4.03584
0.56,-0.725849,-0.25647,4.03584
0.561,-0.726447,-0.256198,4.03584
0.562,-0.727041,-0.255923,4.03584
0.563,-0.727633,-0.255645,4.03584
0.564,-0.72822,-0.255363,4.03584
0.565,-0.728804,-0.255079,4.03584
0.566,-0.729385,-0.254792,4.03584
0.567,-0.729962,-0.254501,4.03584
0.568,-0.730536,-0.254208,4.03584
0.569,-0.731106,-0.253911,4.03584
0.57,-0.731673,-0.253611,4.03584
0.571,-0.732236,-0.253308,4.03584
0.572,-0.732795,-0.253002,4.03584
0.573,-0.733351,-0.252693,4.03584
0.574,-0.733904,-0.252381,4.03584
0.575,-0.734453,-0.252065,4.03584
0.576,-0.734998,-0.251746,4.03584
0.577,-0.73554,-0.251424,4.03584
0.578,-0.736079,-0.251099,4.03584
0.579,-0.736614,-0.25077,4.03584
0.58,-0.737145,-0.250438,4.03584
0.581,-0.737673,-0.250103,4.03584
